id,lead_key,phone,business_name,state,suburb,address,sector_level_1,sector_level_2,sector_level_3,phone_masked,phone_from_leadkey,phone_type,phone_match_score,phone_frequency,phone_quality,reachability_score,kpay_relevant,has_address,has_sector,name_suburb_dup,state_clean,reach_address,reachability,sector_score,geo_score,data_completeness,kmf_score,tier,sector_level_1_clean
2315889,L_61283644027,61283644027,Cue Macquarie Myer,NSW,north ryde,"Myer Macquarie, Macquarie Shopping Centre, level 1 Herring Rd, North Ryde NSW 2113, Australia",Retail,Fashion & Accessories,Boutique,False,61283644027,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,1,10,72.0,Tier 2,Retail
780964,L_61282017570,+61 2 8201 7570,Rip Curl Urbnsurf Sydney,NSW,sydney olympic park,"Shop 1/15 Hill Rd, Sydney Olympic Park NSW 2127, Australia",,,Surf shop,False,61282017570,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,9.0,5,7,56.0,Tier 2,Others
967406,L_61435429361,+61 435 429 361,Aree Thai Twist,NSW,maroubra,"Aree Thai Twist, 693 Anzac Parade, Maroubra NSW 2035, Australia",Retail,Home & Furniture,Home Decor Retailers,False,61435429361,mobile,1.0,1,Level 3,30,True,True,True,False,NSW,10,40,26.0,1,10,77.0,Tier 2,Retail
972039,L_61450619888,+61 450 619 888,Roseville Asian Massage,NSW,roseville,"Unit 4/9 Hill St, Roseville NSW 2069, Australia",,,Massage therapist,False,61450619888,mobile,1.0,1,Level 3,30,True,True,False,False,NSW,10,40,26.0,1,7,74.0,Tier 2,Beauty & Wellness
912052,L_61406934678,+61 406 934 678,"Hurlstone Park Laundry, Dryclean & Tailoring",NSW,hurlstone park,"34 Crinan St, Hurlstone Park NSW 2193, Australia",,,Dry cleaner,False,61406934678,mobile,1.0,1,Level 3,30,True,True,False,False,NSW,10,40,26.0,1,7,74.0,Tier 2,Retail
986286,L_61493767781,+61 493 767 781,G Carmart,NSW,croydon,"666 Parramatta Rd, Croydon NSW 2132, Australia",,,Smart Car dealer,False,61493767781,mobile,1.0,1,Level 3,30,True,True,False,False,NSW,10,40,9.0,1,7,57.0,Tier 2,Others
888486,L_61297962614,+61 2 9796 2614,Panel Pit Smash Repairs,NSW,condell park,"63 Birch St, Condell Park NSW 2200, Australia",,,Auto body shop,False,61297962614,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,9.0,1,7,52.0,Tier 2,Others
743779,L_61238213421,+61 2 3821 3421,Green Sydney Mobile Mechanic,NSW,sydney,"393 Pitt St, Sydney NSW 2000, Australia",,,Car repair and maintenance service,False,61238213421,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,12.0,5,7,59.0,Tier 2,Professional Services
1002589,L_61246207660,61246207660,Rogue Royalty,NSW,austral,1/49 Blaxland Rd Campbelltown 2560 NSW Australia,Retail,Pets & Animals,Facebook (495) Â· Pet store,False,61246207660,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,1,10,72.0,Tier 2,Retail
747959,L_61246275035,+61 2 4627 5035,Just Sport,NSW,campbelltown,"271 Queen St, Campbelltown NSW 2560, Australia",,,Sportswear store,False,61246275035,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,26.0,1,7,69.0,Tier 2,Retail
749533,L_61246561458,+61 2 4656 1458,P To P,NSW,campbelltown,"226 Queen St, Campbelltown NSW 2560, Australia",,,Cafe,False,61246561458,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,35.0,1,7,78.0,Tier 2,F&B
751537,L_61247378303,+61 2 4737 8303,Parrabey Gourmet Kitchen,NSW,jamisontown,"Shop 300/2 Pattys Pl, Jamisontown NSW 2750, Australia",,,Restaurant,False,61247378303,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,35.0,1,7,78.0,Tier 2,F&B
751955,L_61247734219,+61 2 4773 4219,The Barbers Joint,NSW,luddenham,"4/16-30 Willmington Rd, Luddenham NSW 2745, Australia",,,Barber shop,False,61247734219,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,35.0,1,7,78.0,Tier 2,F&B
2251084,L_61248219377,+61 2 4821 9377,Heritage Motor Inn Goulburn,NSW,goulburn,"69 Sydney Rd, Goulburn NSW 2580, Australia",Others,Hotel / Motel / Accommodation,Motel,False,61248219377,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,9.0,1,10,55.0,Tier 2,Others
752453,L_61249013298,+61 2 4901 3298,Prestige Limo Hire,NSW,parramatta,"Octagon Building, Suite F/110 George St, Parramatta NSW 2150, Australia",,,Car rental agency,False,61249013298,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,9.0,15,7,66.0,Tier 2,Others
2313427,L_61292613327,61292613327,Twin Mart,NSW,sydney,614 George St Sydney NSW 2000,Retail,Grocery / Convenience Store,General Stores and Food Stores,False,61292613327,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,5,10,76.0,Tier 2,Retail
755623,L_61272293816,+61 2 7229 3816,Stylerunner Macquarie,NSW,shop,"Cnr Herring & Waterloo Rds, Macquarie centre, Shop 2236, North Ryde NSW 2113, Australia",,,Clothing store,False,61272293816,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,26.0,1,7,69.0,Tier 2,Retail
755761,L_61272389364,+61 2 7238 9364,Kitchen Stop St Ives,NSW,greenwich,"ST IVES SHOPPING VILLAGE, SHOP 63-64, Greenwich NSW 2065, Australia",,,Countertop store,False,61272389364,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,9.0,1,7,52.0,Tier 2,Others
2315592,L_61278042696,61278042696,Shell,NSW,dundas,"199-203 Kissing Point Road, Kirby St, Dundas NSW 2117, Australia",Professional Services,Automotive Services,Gas station,False,61278042696,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,12.0,1,10,58.0,Tier 2,Professional Services
756321,L_61278058309,+61 2 7805 8309,Yellow Brick Cafe,NSW,,"South Building Home Hub, K7/16 Victoria Ave, Castle Hill NSW 2154, Australia",,,Cafe,False,61278058309,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,35.0,1,7,78.0,Tier 2,F&B
759300,L_61280543900,+61 2 8054 3900,Pace Athletic Waverley,NSW,waverley,"326 Bronte Rd, Waverley NSW 2024, Australia",,,Running store,False,61280543900,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,9.0,1,7,52.0,Tier 2,Others
759841,L_61280659996,+61 2 8065 9996,Smile Confidental,NSW,strathfield,"52 Redmyre Rd, Strathfield NSW 2135, Australia",,,Dental clinic,False,61280659996,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,12.0,15,7,69.0,Tier 2,Professional Services
759902,L_61280680592,+61 2 8068 0592,Style State (Formerly Ajoy),NSW,surry hills,"Shop 1/83-97 Kippax St, Surry Hills NSW 2010, Australia",,,Clothing wholesaler,False,61280680592,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,26.0,1,7,69.0,Tier 2,Retail
2074,L_61427966611,+61 427 966 611,Mr Reliable'S Cleaning Service,NSW,marayong,"Marayong, NSW, 2148",,,Car Cleaning Products,False,61427966611,mobile,1.0,1,Level 3,30,True,True,False,False,NSW,10,40,12.0,1,7,60.0,Tier 2,Professional Services
780246,L_61281026688,+61 2 8102 6688,Jk Barbers,NSW,fairfield,"63A Spencer St, Fairfield NSW 2165, Australia",,,Barber shop,False,61281026688,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,35.0,1,7,78.0,Tier 2,F&B
781724,L_61282590360,+61 2 8259 0360,Bar360 Pty Ltd,NSW,barangaroo,"l35/100 Barangaroo Ave, Barangaroo NSW 2000, Australia",,,Computer support and services,False,61282590360,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,12.0,1,7,55.0,Tier 2,Retail - Electronics
782042,L_61282831527,+61 2 8283 1527,De Rest Thai Massage,NSW,earlwood,"3 William St, Earlwood NSW 2206, Australia",,,Health resort,False,61282831527,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,9.0,1,7,52.0,Tier 2,Others
784766,L_61284111519,+61 2 8411 1519,Six And Seven,NSW,westleigh,"shop16/4/8 Eucalyptus Dr, Westleigh NSW 2120, Australia",,,Cafe,False,61284111519,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,35.0,1,7,78.0,Tier 2,F&B
785414,L_61285070388,+61 2 8507 0388,Stone Real Estate South Hurstville,NSW,south hurstville,"Shop 1/829 King Georges Rd, South Hurstville NSW 2221, Australia",,,Real estate agent,False,61285070388,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,12.0,1,7,55.0,Tier 2,Professional Services
785796,L_61285282955,+61 2 8528 2955,Ooshman Maroubra,NSW,maroubra,"Shop 52/737 Anzac Parade, Maroubra NSW 2035, Australia",,,Pizza restaurant,False,61285282955,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,35.0,1,7,78.0,Tier 2,F&B
786775,L_61285775670,+61 2 8577 5670,Saint Brigidâ€™S Catholic Church,NSW,marrickville,"392 Marrickville Rd, Marrickville NSW 2204, Australia",,,Catholic church,False,61285775670,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,9.0,1,7,52.0,Tier 2,Others
787035,L_61285915848,+61 2 8591 5848,4 Seasonz Indian Restaurant,NSW,rockdale,"532 Princes Hwy, Rockdale NSW 2216, Australia",,,Indian restaurant,False,61285915848,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,35.0,1,7,78.0,Tier 2,F&B
993599,L_61285962555,+61 2 8596 2555,Parbury Technologies,NSW,st peters,"
295-305 Princes Hwy,
ST PETERS, NSW, 2044
",Retail,Waterproofing Products & Materials,Hardware store,False,61285962555,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,1,10,72.0,Tier 2,Retail
12767,L_61284888039,+61 2 8488 8039,Bauerfeind Australia,NSW,sydney,"Shop 2a 219-227 Elizabeth St, Sydney, NSW, 2000",,,Sportswear Retail,False,61284888039,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,26.0,5,7,73.0,Tier 2,Retail
782910,L_61283224041,+61 2 8322 4041,Sydney Orthopaedics,NSW,sydney,"Mezzanine, 580 George St, Sydney NSW 2000, Australia",,,Orthopedic surgeon,False,61283224041,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,9.0,5,7,56.0,Tier 2,Others
785233,L_61284840332,+61 2 8484 0332,Sizzle Bite Kebab & Burger,NSW,neutral bay,"81/91 Military Rd, Neutral Bay NSW 2089, Australia",,,Fast food restaurant,False,61284840332,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,35.0,1,7,78.0,Tier 2,F&B
2270250,L_61287621100,+61 2 8762 1100,Ibis Sydney Olympic Park,NSW,sydney olympic park,"11B Olympic Blvd, Sydney Olympic Park NSW 2127, Australia",Others,Hotel / Motel / Accommodation,Hotel,False,61287621100,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,9.0,5,10,59.0,Tier 2,Others
2316233,L_61288454859,61288454859,Skechers,NSW,sydney,"239 Pitt St, Sydney NSW 2000, Australia",Retail,Fashion & Accessories,Shoe store,False,61288454859,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,5,10,76.0,Tier 2,Retail
1002386,L_61289040224,+61 2 8904 0224,The Herb Booth Pty Ltd,NSW,north sydney,"1/ 267 Pacific Hwy, North Sydney, NSW 2060",Retail,Chinese Medicine,Herbal shop,False,61289040224,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,5,10,76.0,Tier 2,Retail
796756,L_61290698888,+61 2 9069 8888,Central Real Capital,NSW,double bay,"Level 2/30-36 Bay St, Double Bay NSW 2028, Australia",,,Financial institution,False,61290698888,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,12.0,1,7,55.0,Tier 2,Professional Services
797331,L_61290995657,+61 2 9099 5657,Mosaic Hub Steamworks,NSW,seven hills,"3 Fifth Ave, Seven Hills NSW 2147, Australia",,,Car wash,False,61290995657,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,9.0,1,7,52.0,Tier 2,Others
798532,L_61291452994,+61 2 9145 2994,Tommys Garage,NSW,carlton,"36/38 Waterview St, Carlton NSW 2218, Australia",,,Mechanic,False,61291452994,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,12.0,1,7,55.0,Tier 2,Professional Services
1171545,L_61450310811,0450 310 811,Reflectionz Hair Salon,NSW,auburn,"45 Rawson St, Auburn NSW 2144 ",Beauty & Wellness,Beauty Salon / Barber,Hairdresser,False,61450310811,mobile,0.2,1,Level 2,3,True,True,True,False,NSW,10,13,26.0,10,7,56.0,Tier 2,Beauty & Wellness
796298,L_61290575950,+61 2 9057 5950,Advara Heartcare - North Narrabeen,NSW,north narrabeen,"Shop 3/1 Walsh St, North Narrabeen NSW 2101, Australia",,,Cardiologist,False,61290575950,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,9.0,1,7,52.0,Tier 2,Others
2316517,L_61291834861,61291834861,Shell,NSW,hunters hill,"4 Ryde Rd, Hunters Hill NSW 2110, Australia",Professional Services,Automotive Services,Gas station,False,61291834861,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,12.0,1,10,58.0,Tier 2,Professional Services
820395,L_61291881030,+61 2 9188 1030,Macquarie Park Cafe By Celeste,NSW,macquarie park,"Macquarie Park Cemetery Cnr Delhi Road &, Plassey Rd, Macquarie Park NSW 2113, Australia",,,Cafe,False,61291881030,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,35.0,1,7,78.0,Tier 2,F&B
1710022,L_61291881581,+61 2 9188 1581,Anason - Turkish Restaurant,NSW,sydney,"5/23 Barangaroo Ave, Sydney, New South Wales 2000 Australia",Others,Others,"Mediterranean, European",False,61291881581,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,9.0,5,10,59.0,Tier 2,Others
820465,L_61291883607,+61 2 9188 3607,Palermo Perfumes Merrylands,NSW,shop,"Stockland, Shop 1009/199 Pitt St, Merrylands NSW 2160, Australia",,,Perfume store,False,61291883607,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,26.0,1,7,69.0,Tier 2,Retail
820758,L_61291897773,+61 2 9189 7773,Skinkandy Broadway,NSW,glebe,"Broadway Sydney, Kiosk 224/1 Bay St, Glebe NSW 2037, Australia",,,Body piercing shop,False,61291897773,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,26.0,1,7,69.0,Tier 2,Beauty & Wellness
821024,L_61291994563,+61 2 9199 4563,Kinny Legal,NSW,sydney,"21/133 Castlereagh St, Sydney NSW 2000, Australia",,,Legal services,False,61291994563,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,12.0,5,7,59.0,Tier 2,Professional Services
1039807,L_61292110605,+61 2 9211 0605,Weekes Preston,NSW,ultimo,"S 205,22 Mountain St,Ultimo,NSW,2007",Retail,Lawyers,Grocery store,False,61292110605,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,1,10,72.0,Tier 2,Retail
2197226,L_61292111748,02 9211 1748,Jimmy Blanco,NSW,surry hills,"54 Foveaux St,Surry Hills,NSW,2010",Others,Others,Restaurants,False,61292111748,landline,0.2,1,Level 2,3,True,True,True,False,NSW,10,13,35.0,1,7,56.0,Tier 2,F&B
821281,L_61292113033,+61 2 9211 3033,Urbanista,NSW,ultimo,"66/89 Jones St, Ultimo NSW 2007, Australia",,,Urban planning department,False,61292113033,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,9.0,1,7,52.0,Tier 2,Others
1046710,L_61292119099,+61 2 9211 9099,Mobile Paradise,NSW,sydney,"Shop R1, 9-13 Hay St, Sydney, NSW, 2000",Retail,Mobile Phones Retailers,Mobile phone store,False,61292119099,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,5,10,76.0,Tier 2,Retail
821623,L_61292127842,+61 2 9212 7842,Kwila,NSW,surry hills,"7/46-54 Foster St, Surry Hills NSW 2010, Australia",,,Coffee shop,False,61292127842,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,35.0,1,7,78.0,Tier 2,F&B
989623,L_61292121882,+61 2 9212 1882,Melting Pot Press,NSW,chippendale,"
10 Grafton St,
CHIPPENDALE, NSW, 2008
",Retail,Publishers - Book,Bookstore,False,61292121882,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,1,10,72.0,Tier 2,Retail
1046155,L_61292122776,+61 2 9212 2776,Revelin International,NSW,surry hills,"64 Kippax St, SURRY HILLS, NSW 2010",Clothing,General Clothing,,False,61292122776,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,1,10,72.0,Tier 2,Retail
1430963,L_61292124950,+61 2 9212 4950,Transitions Hair | Hair Restoration,NSW,surry hills,"level 1 suite 113/410 Elizabeth St, Surry Hills NSW 2010, Australia",Others,Government / Utility Services,Hair replacement service,False,61292124950,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,1,10,72.0,Tier 2,Beauty & Wellness
821639,L_61292128921,+61 2 9212 8921,Mycar Tyre & Auto Marrickville,NSW,marrickville,"Murray St, Marrickville NSW 2204, Australia",,,Tire shop,False,61292128921,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,9.0,1,7,52.0,Tier 2,Others
821653,L_61292128939,+61 2 9212 8939,Mycar Tyre & Auto Sylvania,NSW,sylvania,"Port Hacking Rd, Sylvania NSW 2224, Australia",,,Tire shop,False,61292128939,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,9.0,1,7,52.0,Tier 2,Others
12748,L_61292200700,+61 2 9220 0700,Bentleys Nsw Pty Ltd,NSW,sydney,"Lvl 10/ 10 Spring St, Sydney, NSW, 2000",,,Shelf Company Services,False,61292200700,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,9.0,5,7,56.0,Tier 2,Others
2316584,L_61292214283,61292214283,Cotton On,NSW,sydney,"Shop 1024A Market St, Sydney NSW 2000, Australia",Retail,Fashion & Accessories,Clothing store,False,61292214283,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,5,10,76.0,Tier 2,Retail
821890,L_61292218205,+61 2 9221 8205,Partson,NSW,revesby,"Unit C6/2B Mavis St, Revesby NSW 2212, Australia",,,Auto parts store,False,61292218205,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,9.0,1,7,52.0,Tier 2,Others
822044,L_61292239700,+61 2 9223 9700,Havana Express,NSW,sydney,"1 Martin Pl, Sydney NSW 2000, Australia",,,Tobacco shop,False,61292239700,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,26.0,5,7,73.0,Tier 2,Retail
796549,L_61290636999,+61 2 9063 6999,Quality Cleaning &,NSW,bankstown,"359 Chapel Rd, Bankstown NSW 2200, Australia",,,Dry cleaner,False,61290636999,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,26.0,10,7,78.0,Tier 2,Retail
853082,L_61296724818,+61 2 9672 4818,Sydney Drive Shaft Kings Park,NSW,kings park,"5/12 Garling Rd, Kings Park NSW 2148, Australia",,,Auto parts store,False,61296724818,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,9.0,1,7,52.0,Tier 2,Others
1046143,L_61292316800,+61 2 9231 6800,Makers Mark,NSW,sydney,"62 Castlereagh Street, Sydney, NSW 2000",Fashion,Fashion Accessories,,False,61292316800,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,5,10,76.0,Tier 2,Retail
808,L_61292321078,+61 2 9232 1078,Akira Boutique,NSW,sydney,"The Strand Arcade Level 2 412-414 George St, Sydney, NSW, 2000",,,Boutiques,False,61292321078,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,9.0,5,7,56.0,Tier 2,Others
1039306,L_61292328951,+61 2 9232 8951,Tony Boemi'S Tailor Salon,NSW,sydney,"Shop 105C, Level 1, 155 King Street, Sydney, NSW 2000",Alterations & Services,Alterations & Services,Sewing & alterations,False,61292328951,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,5,10,76.0,Tier 2,Retail
1000753,L_61292351252,+61 2 9235 1252,Baracca Menswear,NSW,sydney,"
Skygarden Centre,
SYDNEY CBD, NSW, 2000
",Retail,Mens Clothing Retail,Men's clothing store,False,61292351252,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,5,10,76.0,Tier 2,Retail
822557,L_61292351272,+61 2 9235 1272,Miu Miu Australia Sydney Westfield,NSW,sydney,"188 Pitt St, Sydney NSW 2000, Australia",,,Women's clothing store,False,61292351272,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,26.0,5,7,73.0,Tier 2,Retail
993187,L_61292416977,+61 2 9241 6977,Australian Meat Standards,NSW,sydney,"
263 George Street,
SYDNEY CBD, NSW, 2000
",Retail,Primary Production & Rural Organisations,Meat shop,False,61292416977,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,5,10,76.0,Tier 2,Retail
998296,L_61292479640,+61 2 9247 9640,Railway Newsagency,NSW,sydney,"
Alfred St,
SYDNEY CBD, NSW, 2000
",Retail,Newsagents,Newspaper & magazines store,False,61292479640,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,5,10,76.0,Tier 2,Retail
823093,L_61292514859,+61 2 9251 4859,Barista Sisters Coffee,NSW,sydney,"50 Pitt St, Sydney NSW 2000, Australia",Beauty & Wellness,Beauty Salon / Barber,Beauty Salons South Hurstville,False,61292514859,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,5,10,76.0,Tier 2,Beauty & Wellness
823193,L_61292524420,+61 2 9252 4420,Currie & Brown,NSW,sydney,"Level 7/16 Spring St, Sydney NSW 2000, Australia",,,Quantity surveyor,False,61292524420,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,9.0,5,7,56.0,Tier 2,Others
823209,L_61292525770,+61 2 9252 5770,Sydney Physio Solutions | Macquarie St Sydney Cbd,NSW,sydney,"1/139 Macquarie St, Sydney NSW 2000, Australia",,,Physical therapist,False,61292525770,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,9.0,5,7,56.0,Tier 2,Others
1309906,L_61421671939,0421 671 939,Cloud Brew Cafe,NSW,bankstown,"133 Bankstown City Plaza, Bankstown NSW 2200",F&B,Dine-in Restaurant,Cafe,False,61421671939,mobile,0.2,1,Level 2,3,True,True,True,False,NSW,10,13,35.0,10,7,65.0,Tier 2,F&B
851944,L_61296619026,+61 2 9661 9026,Crystal Garden Chinese Restaurant,NSW,matraville,"1211 Anzac Parade, Matraville NSW 2036, Australia",,,Chinese restaurant,False,61296619026,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,35.0,1,7,78.0,Tier 2,F&B
2313456,L_61292627770,61292627770,Interspire Pty Ltd,NSW,surry hills,"Lvl9/ 162 Goulburn St Surry Hills, Sydney NSW 2010",Retail,Electronics & Appliances,"Computer, PC Software",False,61292627770,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,1,10,72.0,Tier 2,Retail
1010129,L_61292647769,+61 2 9264 7769,Master Watchmaking Pty Ltd,NSW,sydney,"262 Pitt St, Sydney, NSW, 2000",Retail Shopping,Jewellery & Watch Retailers,Watch repair service,False,61292647769,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,5,10,76.0,Tier 2,Retail
1036730,L_61292615250,+61 2 9261 5250,Graniph,NSW,sydney,"Galleries Victoria,
SYDNEY CBD, NSW, 2000",Fashion,Fashion & Boutiques,,False,61292615250,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,5,10,76.0,Tier 2,Retail
823696,L_61292640881,+61 2 9264 0881,Uniland Migration,NSW,sydney,"78 Liverpool St, Sydney NSW 2000, Australia",,,Government office,False,61292640881,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,9.0,5,7,56.0,Tier 2,Others
2117378,L_61292641343,02 9264 1343,Ally Fashion,NSW,sydney,"World Square Shopping Centre Shop 9,Level 2,644 George St,Sydney,NSW,2000",Retail,Fashion & Accessories,Clothing Retailers,False,61292641343,landline,0.2,1,Level 2,3,True,True,True,False,NSW,10,13,26.0,5,7,51.0,Tier 2,Retail
2310226,L_61292645533,+61 2 9264 5533,Toni&Guy,NSW,surry hills,"65 Campbell St, Surry Hills NSW 2010, Australia",Beauty & Wellness,Beauty Salon / Barber,Hair salon,False,61292645533,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,1,10,72.0,Tier 2,Beauty & Wellness
1040687,L_61292646784,+61 2 9264 6784,Boneham Gavin,NSW,sydney,"49 Market St, Sydney, NSW 2000",Health & Beauty,Eye Care,,False,61292646784,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,5,10,76.0,Tier 2,Beauty & Wellness
824134,L_61292672728,+61 2 9267 2728,Teng Long Natural Therapeutic Clinic,NSW,sydney,"533 Kent St, Sydney NSW 2000, Australia",,,Massage therapist,False,61292672728,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,26.0,5,7,73.0,Tier 2,Beauty & Wellness
2313486,L_61292648831,61292648831,Finite Lab,NSW,sydney,Ste9h/ 325 Pitt St Sydney NSW 2000,Retail,Electronics & Appliances,Computer Consulting,False,61292648831,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,5,10,76.0,Tier 2,Retail
1017519,L_61292675981,+61 2 9267 5981,Vernalys Skin & Laser Clinic,NSW,sydney,"Shop 351/569 George St, Sydney, NSW 2000",Health & Beauty,Skin Care,,False,61292675981,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,5,10,76.0,Tier 2,Beauty & Wellness
824435,L_61292731213,+61 2 9273 1213,Library Cafe,NSW,state library of,"State Library of NSW, 1 Shakespeare Pl, Sydney NSW 2000, Australia",,,Cafe,False,61292731213,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,35.0,1,7,78.0,Tier 2,F&B
824591,L_61292803022,+61 2 9280 3022,Lanopearl Chinatown Sydney,NSW,haymarket,"47 Dixon St, Haymarket NSW 2000, Australia",,,Souvenir store,False,61292803022,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,9.0,15,7,66.0,Tier 2,Others
1050484,L_61292811623,+61 2 9281 1623,Sonia Design Co,NSW,sydney,"Sydney, NSW, 2000",Hair & Beauty,Hairdressers,,False,61292811623,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,5,10,76.0,Tier 2,Beauty & Wellness
2158459,L_61292813666,02 9281 3666,Easyway Tea,NSW,sydney,"Shop B  G,653-659 George St,Sydney,NSW,2000",Others,Others,Takeaways,False,61292813666,landline,0.2,1,Level 2,3,True,True,True,True,NSW,10,13,35.0,5,7,60.0,Tier 2,F&B
2117729,L_61292814711,02 9281 4711,Yd.,NSW,haymarket,"Harbourside Shopping Centre,10 Darling Dr,Haymarket,NSW,2000",Retail,Fashion & Accessories,Clothing Retailers,False,61292814711,landline,0.2,1,Level 2,3,True,True,True,False,NSW,10,13,26.0,15,7,61.0,Tier 2,Retail
9938,L_61292830419,+61 2 9283 0419,Independent Gemmological Laboratory,NSW,sydney,"Sydney, NSW, 2000",,,Jewellery Stores,False,61292830419,landline,1.0,1,Level 3,25,True,True,False,False,NSW,10,35,26.0,5,7,73.0,Tier 2,Retail
2153385,L_61292833742,02 9283 3742,Typo,NSW,sydney,"World Square Shopping Centre Shop 10.35, 644 George St, Sydney, NSW, 2000",Others,Others,Stationery Retailers,False,61292833742,landline,0.2,1,Level 2,3,True,True,True,False,NSW,10,13,26.0,5,7,51.0,Tier 2,Retail
